ln,dob,gn,fn,is_duplicate
RUSHI ,10-05-1945,M,PANCHAL,1
RUSHI ,10-05-1945,M,PANCHAL,1
RUSHI ,10-05-1945,M,PATEL,0
SHAILEE ,09-02-1945,F,PATEL,0
SHAILEE ,19-02-1962,F,SINGH ,0
SHAILEE ,09-02-1945,F,PATEL ,1
VIDYA,15-05-1963,F,BALAN,0
VIDYA,09-10-1962,F,KHAN,0
VIDYA,08-02-1962,F,OBEROI,0
VIDYA,19-02-1962,F,AGATE ,0
SHUSHANT ,17-06-1948,M,RAJPUT,0
SHUSHANT ,17-06-1948,M,RAJPUT ,1
SHUSHANT ,15-06-1948,M,SINGH ,0
REAH,21-02-1962,F,CHAKRABORTY,0
REAH,22-03-1962,F,CHATERJEE,0
SIDDHARTH ,16-12-1944,M,CHATERJEE,0
SIDDHARTH ,26-10-1945,M,KUMAR,0
SIDDHARTH ,16-12-1944,M,CHATERJEE,1
PRERNA ,17-11-1945,F,CHOPRA ,0
PRERNA ,07-10-1937,F,BHENDARKAR,0
PRERNA ,07-10-1937,F,BHENDARKAR,1
ANSHUL,20-10-1953,F,SHARMA,0
ANSHUL,25-10-1953,M,SINGH ,0
